placename,species,pig_present_at_site,radtime
B23,Wild Pig,NA,1.418080017
B23,Wild Pig,NA,5.336344188
B23,Wild Pig,NA,6.095562413
B23,Wild Pig,NA,0.589048623
B23,Wild Pig,NA,0.903207888
B23,Wild Pig,NA,1.71478599
B23,Wild Pig,NA,1.950405439
B23,White-tailed Deer,yes,2.081305133
B23,Wild Pig,NA,5.196717848
B23,Wild Pig,NA,0.353429174
B23,Wild Pig,NA,0.951204442
B23,Wild Pig,NA,1.610066235
B23,Wild Pig,NA,2.29947129
B24,White-tailed Deer,no,3.992440664
B24,White-tailed Deer,no,4.4331363
B24,White-tailed Deer,no,5.419247327
B24,White-tailed Deer,no,1.85441233
B24,Wild Pig,NA,2.330014551
B24,White-tailed Deer,yes,3.486295181
B24,White-tailed Deer,yes,4.472406208
B24,White-tailed Deer,yes,5.336344188
B24,White-tailed Deer,yes,0.082903139
B24,White-tailed Deer,yes,0.671951762
B24,White-tailed Deer,yes,1.723512636
B24,White-tailed Deer,yes,2.042035225
B24,White-tailed Deer,yes,2.639810494
B24,White-tailed Deer,yes,2.818706742
B24,White-tailed Deer,yes,3.311762256
B24,White-tailed Deer,yes,3.525565089
B25,White-tailed Deer,no,5.432337297
B25,White-tailed Deer,no,0.218166156
B25,White-tailed Deer,no,0.763581548
B25,White-tailed Deer,no,1.588249619
B25,White-tailed Deer,no,2.260201381
B25,White-tailed Deer,no,3.298672286
B25,White-tailed Deer,no,3.892084232
B25,White-tailed Deer,no,4.132067004
B25,White-tailed Deer,no,4.93491846
B25,White-tailed Deer,no,1.819505745
B26,White-tailed Deer,no,4.476769531
B26,White-tailed Deer,no,4.948008429
B26,White-tailed Deer,no,5.192354525
B26,White-tailed Deer,no,1.719149313
B26,White-tailed Deer,no,2.530727415
B26,White-tailed Deer,no,2.783800157
B26,White-tailed Deer,no,3.490658504
B26,White-tailed Deer,no,4.214970144
B26,White-tailed Deer,no,4.651302457
B26,White-tailed Deer,no,5.22726111
B26,White-tailed Deer,no,2.024581932
B27,White-tailed Deer,no,0.248709418
B27,White-tailed Deer,no,2.443460953
B27,White-tailed Deer,no,3.368485456
B27,White-tailed Deer,no,5.393067389
B27,White-tailed Deer,no,5.85557964
B27,White-tailed Deer,no,5.349434157
B27,Wild Pig,NA,0.881391272
B27,Wild Pig,NA,3.089232776
B27,White-tailed Deer,yes,3.263765701
B27,White-tailed Deer,yes,5.358160804
B27,Wild Pig,NA,0.968657735
B27,Wild Pig,NA,1.322086908
B28,White-tailed Deer,no,5.026548246
B28,Wild Pig,NA,1.610066235
B28,Wild Pig,NA,2.993239667
B29,White-tailed Deer,no,1.9242255
B29,White-tailed Deer,no,3.228859116
B29,White-tailed Deer,no,4.280419991
B29,White-tailed Deer,no,4.690572365
B29,White-tailed Deer,no,5.235987756
B29,White-tailed Deer,no,4.690572365
B29,White-tailed Deer,no,5.00473163
B29,White-tailed Deer,no,0.859574657
B29,White-tailed Deer,no,1.601339589
B29,White-tailed Deer,no,2.068215164
B29,White-tailed Deer,no,2.234021443
B30,Wild Pig,NA,4.594579256
B30,Wild Pig,NA,5.528330406
B30,White-tailed Deer,yes,4.214970144
B30,White-tailed Deer,yes,4.987278338
B30,White-tailed Deer,yes,1.335176878
B30,White-tailed Deer,yes,1.898045562
B30,Wild Pig,NA,4.162610266
B30,Wild Pig,NA,0.183259571
B30,White-tailed Deer,yes,1.832595715
B30,White-tailed Deer,yes,3.329215548
B31,White-tailed Deer,no,4.236786759
B31,White-tailed Deer,no,4.961098399
B31,White-tailed Deer,no,5.811946409
B31,White-tailed Deer,no,0.436332313
B31,White-tailed Deer,no,0.767944871
B31,White-tailed Deer,no,1.195550538
B31,White-tailed Deer,no,1.514073126
B31,White-tailed Deer,no,2.020218609
B31,White-tailed Deer,no,5.510877113
B31,White-tailed Deer,no,5.833763025
B31,White-tailed Deer,no,0.628318531
B31,White-tailed Deer,no,1.36572014
B31,White-tailed Deer,no,1.610066235
B31,White-tailed Deer,no,2.574360647
